,type,2nd type,3rd type,Source Notes (things to know?),,,Investigated?,
informationclearinghouse.info,conspiracy,unreliable,,,informationclearinghouse,,FALSE,
informetoday.com,bias,unreliable,,,informetoday,,FALSE,
infostormer.com,fake,hate,conspiracy,,,,,
infowars.com,conspiracy,,,,infowars,,TRUE,
instaworldnews.com,bias,,,,instaworldnews,,FALSE,
intellihub.com,conspiracy,unreliable,,,intellihub,,TRUE,
intrendtoday.com,fake,clickbait,,,intrendtoday,,FALSE,
intrepidreport.com,bias,,,,intrepidreport,,FALSE,
investmentresearchdynamics.com,conspiracy,,,,investmentresearchdynamics,,FALSE,
investmentwatchblog.com,bias,fake,,,investmentwatchblog,,FALSE,
ironictimes.com,satire,,,,,,,
islamicanews.com,satire,,,,,,,
itaglive.com,fake,,,,itaglive,,FALSE,
ITCCS.org,conspiracy,,,,,,,
ItMakesSenseBlog.com,fake,,,,,,,
iwanttoexplore.com,fake,,,mostly turned back into car website,iwanttoexplore,,FALSE,
jackpineradicals.com,political,,,left wing discussion site,jackpineradicals,,FALSE,
jacobinmag.com,political,,,,,,,
jamesrgrangerjr.com,bias,,,,jamesrgrangerjr,,FALSE,
jesus-is-savior.com,conspiracy,,,,jesus-is-savior,,FALSE,
jewsnews.co.il,unreliable,bias,clickbait,,jewsnews,,FALSE,
jihadwatch.org,conspiracy,hate,,,,,,
johnnyrobish.com,satire,,,,,,,
jonesreport.com,conspiracy,,,,jonesreport,,TRUE,
journal-neo.org,bias,,,,journal-neo,,FALSE,
judicialwatch.org,political,,,,,,,
katehon.com,bias,,,,katehon,,FALSE,
katehon.org,unknown,,,"russian version of katehon.com? (I think so, but i can't get a read on this one- mz)",katehon,,FALSE,
kauilapele.wordpress.com,unknown,,,,,,,
kingworldnews.com,unknown,,, ,kingworldnews,,FALSE,
knowledgeoftoday.org,conspiracy,,,http://www.knowledgeoftoday.org/2012/02/illuminati-secret-hidden-from-masses.html,,,,
krbcnews.com,fake,,,,,,,
landoverbaptist.org,satire,,,,landoverbaptist,,FALSE,
learnprogress.org,fake,bias,,http://www.learnprogress.org/white-house-website-sell-jewelry/,,,,
legorafi.fr,unknown,,,in French,legorafi,,FALSE,
lewrockwell.com,bias,unreliable,political,,lewrockwell,,TRUE,
liberalamerica.org,clickbait,bias,,,liberalamerica,,FALSE,
liberalbias.com,satire,,,,liberalbias,,FALSE,
liberaldarkness.com,satire,fake,,,,,,
