,type,2nd type,3rd type,Source Notes (things to know?),,,,
react365.com,fake,,,fake news generator for pranking friends,,,,
readconservatives.news,bias,fake,clickbait,,,,,
readynutrition.com,unknown,conspiracy,,survivalist blog,,,,
reagancoalition.com,bias,fake,clickbait,,,,,
realfarmacy.com,junksci,conspiracy,,,,,,
realnewsrightnow.com,fake,satire,,,,,,
realplanetnews.com,junksci,,,,,,,
realprogress.online,unknown,,,website down,,,,
realtimepolitics.com,bias,unreliable,,,,,,
redflagnews.com,bias,conspiracy,unreliable,,,,,
redstate.com,political,clickbait,,,,,,
redstatewatcher.com,bias,clickbait,,,,,,
reductress.com,satire,,,,,,,
regated.com,bais,,,,,,,
remedydaily.com,clickbait, ,,,,,,
rense.com,conspiracy,junksci,,,,,,
responsibletechnology.org,junksci,,,,,,,
returnofkings.com,hate,,,,,,,
revolutions2040.com,junksci,clickbait,,,,,,
rhotv.com,fake,,,,,,,
rickwells.us,fake,conspiracy,,,,,,
rightalert.com,bias,unreliable,,,,,,
righton.com,unknown,,,domain for sale,,,,
rightwingnews.com,bias,unreliable,,,,,,
rilenews.com,fake,satire,,,,,,
rinf.com,political,,,,,,,
rockcitytimes.com,satire,,,,,,,
ronpaulinstitute.org,political,,,,,,,
rumormillnews.com,conspiracy,junksci,rumor,,,,,
ruptly.tv,political,,,owned by RT,,,,
russia-direct.org,unknown,political,,Russian news agencies are REALLY hard to analyze ,,,,
russia-insider.com,bias,clickbait,,,,,,
satiratribune.com,satire,,,,,,,
satirewire.com,satire,,,,,,,
scrappleface.com,satire,,,,,,,
secretsofthefed.com,conspiracy,junksci,,,,,,
sensationalisttimes.com,satire,,,,,,,
sentinelblog.com,conspiracy,junksci,,,,,,
shareblue.com,unreliable,political,bias,My analysis is similar to this site: https://mediabiasfactcheck.com/shareblue/,,,,
sheepkillers.com,conspiracy,junksci,,,,,,
shoebat.com,conspiracy,bias,,,,,,
Silver-Coin-Investor. com,conspiracy,bias,unreliable,,,,,
SilverBearCafe.com,conspiracy,,,,,,,
SilverDoctors.com,conspiracy,bias,,,,,,
SilverStealers.net,conspiracy,,,,,,,
SJLendman.Blogspot.com,bias,,,,,,,
skeptiko.com,conspiracy,junksci,,,,,,
